A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG
18,75,36,177,78,79,38,46,161,186,93,91,99,71,5,18,0,1,2,1,2,0,1,0,0,2,0,2,1,0,1,1,1
19,39,19,144,66,54,40,75,157,265,170,47,210,126,9,24,0,1,2,3,0,0,0,0,0,2,1,0,0,0,1,0,1
20,66,37,146,116,67,40,106,171,125,191,85,77,102,4,25,0,1,3,2,2,0,0,0,0,2,2,1,1,4,1,1,1
21,76,19,106,78,70,38,116,167,223,140,51,233,132,7,25,1,1,0,1,2,0,1,0,1,2,0,2,1,3,0,0,1
22,59,24,128,83,99,39,69,181,272,106,37,74,85,8,23,1,2,2,3,2,1,0,1,0,0,0,2,1,3,0,0,0
23,77,35,179,74,55,40,110,149,130,97,40,191,70,8,25,1,1,1,0,0,0,0,0,0,1,2,1,1,4,1,1,1
24,32,24,157,100,99,36,68,180,225,194,41,232,133,4,23,1,2,1,2,2,0,0,1,0,0,0,2,1,0,1,1,0
25,79,21,144,101,115,35,111,161,297,93,77,133,138,10,13,0,0,0,2,2,0,0,0,0,2,1,0,0,0,1,0,0
26,79,40,134,82,50,36,113,167,144,181,92,184,86,4,25,1,1,2,1,1,1,0,0,2,2,0,2,1,3,0,0,1
27,64,29,165,111,106,40,72,154,130,130,56,181,109,8,15,0,1,0,3,2,0,0,0,0,1,1,0,0,0,1,0,1
28,79,21,90,111,79,38,98,182,210,146,64,207,70,4,12,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
29,68,29,110,63,107,37,59,168,160,79,31,111,82,10,24,0,2,1,2,1,0,0,1,2,2,2,1,1,2,1,1,0
30,72,17,172,97,101,39,68,146,275,170,37,234,87,8,24,0,1,1,0,2,1,0,0,2,1,1,0,0,0,1,0,1
31,81,33,110,63,86,40,92,189,144,134,49,214,137,4,22,1,2,1,2,2,0,0,1,2,2,1,0,0,0,1,0,0
32,20,24,141,64,97,36,40,173,159,195,37,232,83,8,14,0,0,0,1,2,1,1,0,0,2,1,0,0,0,1,0,0
33,68,29,171,100,50,37,73,171,288,133,92,134,74,5,25,0,2,1,2,2,0,0,1,0,1,0,2,1,3,0,0,0
34,24,17,132,103,68,40,83,141,151,147,97,114,131,4,17,0,2,0,2,1,1,0,0,0,2,1,0,0,0,1,0,0
35,38,20,141,82,95,38,53,165,151,141,60,101,102,8,13,0,2,0,2,2,0,0,1,1,2,1,0,0,0,1,0,0
36,90,26,156,99,116,38,76,184,175,122,61,52,95,4,19,1,2,2,2,0,0,0,0,2,2,0,2,1,0,1,1,0
37,56,29,133,112,51,38,74,150,161,80,42,126,130,10,18,1,0,2,0,0,1,0,1,2,1,2,1,1,2,1,1,0
38,35,20,121,96,105,38,98,164,253,158,55,184,137,8,14,0,1,2,2,2,1,0,0,1,1,2,1,1,2,1,1,1
39,21,27,99,120,66,40,63,158,166,65,58,119,99,8,12,0,2,2,2,2,0,0,0,0,1,2,1,1,2,1,1,0
40,77,33,153,70,71,39,104,200,178,144,47,119,131,9,23,1,2,2,1,2,0,0,1,0,1,0,2,1,3,0,0,0
41,31,17,168,114,76,39,45,159,148,126,98,211,131,9,23,0,2,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0
42,26,22,158,70,104,36,107,172,187,200,41,145,139,10,21,1,1,2,1,2,1,0,0,2,2,0,2,1,0,1,1,1
43,70,22,157,72,81,40,77,156,214,191,31,65,126,7,15,0,2,0,2,0,0,1,1,0,2,1,0,0,0,1,0,0
44,19,37,117,73,109,38,40,191,143,51,71,185,105,10,24,0,2,2,2,2,0,0,0,0,1,2,1,1,4,1,1,0
45,77,40,142,119,77,39,80,169,135,189,36,198,76,4,15,1,1,2,2,2,0,0,0,0,0,0,2,1,3,0,0,1
46,88,34,140,67,77,40,70,157,280,177,76,170,134,5,22,0,2,2,2,2,0,0,1,0,2,0,2,1,3,0,0,0
47,61,29,142,84,74,37,75,171,271,141,83,60,110,6,16,1,0,2,3,2,0,0,0,2,2,1,0,0,0,1,0,0
48,25,18,93,77,75,39,112,179,121,73,44,99,101,6,14,1,2,1,1,2,1,0,1,2,2,0,2,1,3,0,0,0
49,64,33,168,110,120,39,93,184,229,86,87,136,83,9,22,1,2,1,2,2,0,0,1,0,0,0,2,1,3,0,0,0
50,52,35,106,103,66,36,70,143,106,78,62,55,102,4,13,1,2,0,2,1,1,0,0,2,2,2,1,1,2,1,1,0
51,53,17,156,103,56,39,68,171,115,91,96,159,99,9,13,1,1,2,1,2,0,1,0,0,1,2,1,1,2,1,1,1
52,67,27,163,77,105,37,42,158,193,67,92,192,75,8,19,1,2,2,2,2,0,0,1,2,2,2,1,1,4,1,1,0
53,21,22,136,69,113,38,97,142,143,180,77,188,79,8,24,0,2,0,0,2,1,0,1,1,1,0,2,1,0,1,1,0
54,19,37,145,66,69,35,100,177,209,62,95,204,89,5,18,1,2,3,2,1,0,1,0,2,2,1,0,0,1,0,0,0
55,23,30,112,119,87,36,45,167,164,155,94,222,81,4,23,1,2,3,2,1,0,0,0,0,0,0,2,1,0,1,1,0
56,71,27,107,109,107,37,59,200,172,108,65,215,91,6,25,0,0,0,3,1,0,0,1,2,2,1,0,0,0,1,0,0
57,21,17,90,103,65,36,100,177,170,141,46,53,83,5,25,0,1,2,2,1,1,0,0,2,1,2,1,1,4,1,1,1
58,71,30,124,73,100,40,85,193,296,53,31,222,117,10,12,0,2,0,1,2,0,0,1,0,1,2,1,1,2,1,1,0
59,80,23,153,74,76,38,52,145,288,100,62,187,123,4,23,0,1,2,2,2,1,0,1,0,1,1,0,0,0,1,0,1
60,35,28,147,75,100,39,62,195,257,182,35,170,105,4,24,0,1,2,2,0,0,0,0,0,0,0,2,1,3,0,0,1
61,61,27,148,61,65,40,118,179,269,90,72,231,130,9,20,1,1,2,2,0,1,0,1,0,1,2,1,1,2,1,1,1
62,51,35,90,89,109,39,70,196,173,54,40,206,124,9,14,1,2,1,2,0,0,0,1,1,2,1,0,0,0,1,0,0
63,79,39,92,89,89,37,43,156,124,185,34,189,83,4,14,1,1,2,2,0,1,0,1,1,1,1,0,0,1,0,0,1
64,31,21,156,77,116,38,114,181,181,140,59,233,71,7,12,1,2,2,0,2,0,0,1,0,1,0,2,1,3,0,0,0
65,65,29,126,90,51,35,105,195,170,101,39,217,71,5,22,1,1,2,3,1,1,0,0,2,2,0,2,1,0,1,1,1
66,32,21,172,103,97,35,55,144,156,184,53,133,130,4,15,0,2,1,2,2,0,0,0,2,2,1,0,0,0,1,0,0
67,89,20,118,107,101,39,70,158,259,96,88,214,75,10,21,1,2,2,2,1,1,0,0,2,0,2,1,1,4,1,1,0
68,79,16,178,72,73,40,87,182,149,176,96,243,94,9,25,0,2,2,1,2,1,0,1,2,1,0,2,1,3,0,0,0
69,57,23,122,79,51,38,82,181,174,131,90,69,136,10,23,0,2,3,1,1,0,0,0,1,2,0,2,1,0,1,1,0
70,70,36,150,108,114,38,43,174,237,115,55,61,92,5,22,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
71,41,38,179,109,69,37,101,161,249,182,68,87,97,6,13,0,2,1,0,2,0,0,1,0,1,2,1,1,4,1,1,0
72,43,31,93,94,83,40,87,163,140,110,32,207,94,4,23,1,0,2,0,1,0,0,0,1,2,1,0,0,1,0,0,0
73,77,19,103,82,90,35,67,149,146,99,67,96,134,8,25,1,2,1,2,2,0,0,1,2,1,2,1,1,4,1,1,0
74,58,26,180,101,90,37,55,141,241,177,71,131,135,4,14,0,0,2,2,0,1,0,0,0,0,2,1,1,4,1,1,0
75,46,15,122,92,72,36,116,167,230,112,77,123,112,4,23,1,2,0,0,1,0,0,1,0,1,2,1,1,2,1,1,0
76,32,24,111,97,87,38,108,180,177,189,42,248,109,5,22,1,2,2,2,1,1,1,0,0,2,0,2,1,3,0,0,0
77,62,25,137,94,93,35,69,176,152,152,85,91,92,10,24,1,1,2,3,1,0,0,0,2,2,0,2,1,3,0,0,1
78,82,30,92,110,116,37,104,192,115,58,88,54,118,5,12,0,2,2,1,2,1,0,0,0,2,1,0,0,0,1,0,0
79,88,28,176,95,111,39,108,156,218,128,92,225,77,9,14,1,2,2,1,1,0,0,1,0,2,0,2,1,3,0,0,0
80,26,22,174,120,61,36,53,145,288,136,72,164,76,7,25,0,1,2,1,0,0,0,0,0,2,0,2,1,3,0,0,1
81,18,38,112,79,79,37,114,200,127,158,86,176,90,4,15,1,2,2,2,2,0,0,0,0,0,2,1,1,4,1,1,0
82,25,31,157,114,114,39,73,182,262,71,50,148,104,9,17,0,1,0,2,1,0,1,0,0,2,0,2,1,0,1,1,1
83,80,39,110,62,90,35,95,198,229,85,83,152,130,6,14,0,0,2,3,1,0,0,0,0,2,2,1,1,4,1,1,0
84,28,32,132,67,69,35,68,144,160,123,82,228,137,5,22,0,2,1,2,2,0,1,0,1,2,1,0,0,0,1,0,0
85,25,26,174,99,55,36,118,178,283,105,74,189,99,7,17,0,2,1,2,0,0,0,1,2,1,1,0,0,1,0,0,0
86,52,39,115,118,53,39,64,146,154,148,65,187,137,10,23,1,0,2,1,2,0,0,1,2,2,1,0,0,0,1,0,0
87,52,31,130,91,59,38,105,171,117,54,92,86,78,8,23,0,1,2,1,1,0,0,1,2,1,0,2,1,3,0,0,1
88,50,40,127,88,100,35,79,143,298,53,30,174,86,8,13,0,2,2,2,2,0,0,0,2,2,0,2,1,3,0,0,0
89,22,28,177,66,87,40,54,160,148,64,96,115,112,7,25,1,1,2,2,0,0,1,0,0,2,2,1,1,2,1,1,1
90,58,30,100,61,50,38,71,181,201,75,62,116,126,9,25,1,1,2,2,2,1,0,0,0,2,0,2,1,0,1,1,1
91,45,28,118,80,57,38,59,171,141,72,61,63,82,10,22,1,1,2,0,2,0,0,0,1,1,2,1,1,2,1,1,1
92,24,23,149,65,112,37,92,195,106,174,87,96,126,8,19,0,2,0,0,2,0,1,0,0,2,2,1,1,4,1,1,0
93,90,18,156,87,82,37,117,157,231,152,55,197,95,4,16,1,2,2,3,2,0,0,0,0,2,0,2,1,3,0,0,0
94,89,39,154,107,64,35,106,172,270,78,90,158,130,5,12,0,1,0,0,0,1,0,0,0,2,0,2,1,3,0,0,1
95,29,37,150,101,80,38,88,153,158,135,46,162,131,6,17,0,2,0,0,2,1,0,0,0,0,2,1,1,4,1,1,0
96,51,25,108,95,70,37,106,145,148,106,98,229,88,8,14,1,2,0,0,0,0,1,1,0,1,0,2,1,0,1,1,0
97,50,20,135,91,52,39,116,150,159,111,58,117,99,4,15,0,2,0,2,2,0,0,1,0,0,1,0,0,0,1,0,0
98,65,29,138,104,115,39,40,185,105,97,92,164,82,10,21,0,2,2,2,0,0,0,1,2,0,2,1,1,2,1,1,0
99,40,19,111,101,84,39,78,159,247,160,35,75,118,9,19,1,2,2,1,2,1,0,0,2,1,1,0,0,0,1,0,0
100,79,25,167,112,90,39,100,168,130,84,88,96,120,5,19,0,2,0,3,2,0,1,0,0,1,0,2,1,0,1,1,0
101,54,39,146,105,108,38,94,197,215,95,50,122,78,4,22,0,2,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0
102,61,32,103,68,65,39,108,174,249,82,74,52,98,4,24,0,2,0,2,1,0,1,0,0,0,0,2,1,0,1,1,0
103,52,27,133,70,105,38,41,155,184,120,74,179,77,9,19,1,2,1,3,1,1,0,0,2,1,0,2,1,3,0,0,0
104,82,25,105,82,94,35,56,187,259,59,64,218,84,5,23,1,1,1,0,1,1,0,0,0,0,0,2,1,0,1,1,1
105,64,28,166,109,108,35,68,146,146,93,81,79,138,8,16,0,2,0,0,1,1,0,0,2,1,0,2,1,3,0,0,0
106,20,32,101,70,99,39,43,179,261,175,75,214,103,10,24,0,2,2,0,0,0,0,0,0,2,2,1,1,4,1,1,0
107,18,39,144,108,61,39,112,198,254,163,95,52,121,10,25,0,0,2,1,1,0,0,1,0,2,1,0,0,1,0,0,0
108,22,33,140,61,61,39,103,199,143,172,86,58,119,8,12,0,2,0,2,1,0,1,0,0,1,0,2,1,0,1,1,0
109,31,38,128,62,82,35,82,175,257,112,71,57,136,4,20,1,1,0,2,2,0,1,0,0,0,2,1,1,4,1,1,1
110,44,29,122,70,98,37,115,183,260,98,45,58,74,7,25,1,1,2,3,2,0,0,1,2,0,1,0,0,1,0,0,1
111,26,23,122,109,70,35,51,183,254,134,34,169,78,8,22,0,2,2,2,2,0,0,0,1,2,2,1,1,2,1,1,0
112,32,22,118,118,109,39,89,170,155,90,30,194,74,4,20,1,2,0,0,2,0,0,0,2,1,2,1,1,4,1,1,0
113,59,34,158,94,101,37,107,181,250,147,51,201,96,9,19,1,1,3,2,2,0,0,0,0,1,0,2,1,0,1,1,1
114,68,15,159,117,103,37,100,183,142,88,77,249,116,6,22,0,2,0,3,2,1,1,1,2,2,2,1,1,2,1,1,0
115,80,18,120,74,88,36,112,182,153,156,55,191,131,10,14,0,2,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0
116,69,28,169,102,98,38,90,182,167,200,63,231,114,6,17,0,2,0,1,1,0,0,0,2,1,1,0,0,1,0,0,0
117,21,39,120,70,113,39,116,186,152,62,87,129,135,7,18,0,2,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0
118,40,16,178,90,75,38,117,145,139,155,36,67,92,9,15,1,2,1,2,0,1,1,1,2,2,0,2,1,0,1,1,0
119,32,30,135,87,120,36,44,168,287,160,54,216,130,4,23,0,2,2,0,1,1,0,0,0,2,1,0,0,0,1,0,0
120,60,17,166,87,56,38,67,166,185,119,86,165,112,6,21,0,2,0,2,2,0,0,1,2,1,2,1,1,4,1,1,0
121,46,40,141,91,111,39,49,182,236,106,41,224,104,10,18,1,0,1,0,2,0,0,0,0,2,0,2,1,3,0,0,0
122,53,22,99,84,73,36,120,141,194,125,60,76,99,9,20,0,0,2,1,1,1,0,0,2,2,0,2,1,0,1,1,0
123,30,20,177,79,89,38,91,195,237,69,56,141,136,8,17,1,1,3,0,2,0,0,0,0,0,0,2,1,3,0,0,1
124,49,30,163,87,96,35,119,161,109,111,63,120,79,4,13,1,2,3,2,2,0,0,0,0,2,2,1,1,4,1,1,0
125,88,38,130,84,57,37,56,198,257,112,63,83,125,7,17,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0
126,76,30,166,70,103,36,104,148,237,185,66,152,103,7,24,1,2,2,1,2,0,0,0,0,2,0,2,1,3,0,0,0
127,45,21,92,78,58,35,60,150,285,87,87,196,134,8,14,0,1,3,2,2,0,0,1,0,1,0,2,1,3,0,0,1
128,83,27,148,87,52,39,93,155,135,141,89,183,75,6,18,1,0,0,0,2,0,0,1,1,2,1,0,0,1,0,0,0
129,59,27,141,60,103,37,88,184,271,148,55,207,139,9,14,1,2,0,2,2,0,0,0,0,1,2,1,1,2,1,1,0
130,62,19,123,118,70,36,61,152,284,157,74,141,112,6,23,1,1,0,2,2,0,0,0,0,2,1,0,0,1,0,0,1
131,79,39,138,64,97,37,108,193,142,154,74,189,85,7,24,0,2,2,2,0,0,0,1,2,1,1,0,0,1,0,0,0
132,74,34,117,69,96,40,103,193,206,156,61,192,132,5,19,1,1,3,2,1,0,1,0,0,2,1,0,0,0,1,0,1
133,23,36,172,101,117,40,75,199,250,151,98,158,134,9,22,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1
134,45,32,176,105,112,36,60,157,231,179,100,216,74,10,22,0,2,2,2,2,0,0,1,2,1,0,2,1,3,0,0,0
135,45,29,102,93,65,36,95,192,239,56,52,152,94,9,16,0,2,2,2,1,0,0,0,0,2,0,2,1,3,0,0,0
136,61,32,158,95,54,38,112,164,223,176,94,113,96,9,24,0,0,3,2,1,0,0,1,0,2,2,1,1,4,1,1,0
137,47,16,156,61,60,37,87,172,148,154,68,113,111,7,14,0,2,2,0,1,1,0,0,2,2,2,1,1,2,1,1,0
138,79,24,150,77,78,40,115,191,251,100,96,64,124,9,24,1,0,2,0,2,0,0,1,0,1,0,2,1,0,1,1,0
139,79,37,149,72,119,40,57,149,240,99,74,235,95,7,12,0,2,0,2,2,1,0,1,0,1,0,2,1,3,0,0,0
140,18,27,160,110,97,37,54,197,223,113,96,149,85,4,16,0,2,2,2,1,0,0,1,0,1,0,2,1,3,0,0,0
141,44,32,113,64,64,40,83,169,167,189,92,116,97,8,21,1,2,1,3,0,1,0,0,2,2,2,1,1,4,1,1,0
142,79,29,152,79,83,35,84,190,201,124,99,50,99,4,21,1,2,1,2,0,1,1,1,2,0,0,2,1,3,0,0,0
143,20,26,175,61,109,40,75,188,299,59,83,56,114,7,22,1,2,0,2,1,0,1,1,0,1,1,0,0,0,1,0,0
144,87,29,150,70,111,40,79,140,189,148,56,186,88,4,14,1,2,2,2,2,1,0,1,2,2,0,2,1,3,0,0,0
145,89,27,112,89,51,39,90,172,261,117,65,50,82,6,15,1,2,1,2,1,1,1,0,2,2,0,2,1,3,0,0,0
146,44,32,119,91,68,35,69,188,108,115,34,54,92,7,24,0,2,2,0,2,0,0,0,0,2,1,0,0,0,1,0,0
147,26,29,149,91,98,38,65,154,109,77,96,96,83,6,21,0,1,0,1,2,0,0,0,2,0,0,2,1,0,1,1,1
148,79,39,107,117,77,36,70,168,224,156,80,149,92,6,15,1,0,3,2,2,0,1,1,0,1,2,1,1,2,1,1,0
149,54,37,145,109,97,40,95,141,214,159,61,59,109,8,14,1,2,2,2,2,0,0,1,0,2,2,1,1,2,1,1,0
150,68,25,142,97,86,38,100,150,164,160,50,51,133,6,17,1,2,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0
151,61,33,96,114,98,38,56,192,211,127,46,72,128,4,17,1,1,0,1,2,0,0,0,0,1,1,0,0,0,1,0,1
152,41,17,158,87,97,35,120,173,171,142,55,152,89,4,12,0,2,3,1,2,1,0,0,2,1,1,0,0,0,1,0,0
153,76,21,161,69,78,36,63,191,173,179,51,233,101,9,24,0,0,3,3,2,0,0,0,2,0,2,1,1,4,1,1,0
154,49,35,168,81,109,39,43,180,153,83,70,196,93,5,15,1,2,2,1,1,0,0,1,0,1,2,1,1,2,1,1,0
155,69,40,141,114,78,38,48,158,270,197,88,215,115,8,12,1,2,2,1,0,0,0,1,0,2,2,1,1,4,1,1,0
156,79,28,93,76,107,39,41,141,286,96,39,96,87,9,18,0,2,3,1,2,0,0,1,0,2,0,2,1,3,0,0,0
157,75,28,123,81,97,36,74,187,188,167,34,133,117,9,18,1,2,2,2,2,1,1,1,0,0,1,0,0,0,1,0,0
158,69,36,158,102,72,36,77,159,194,177,84,229,83,9,17,1,2,3,1,1,0,0,1,0,2,1,0,0,0,1,0,0
159,29,27,122,78,76,35,84,180,202,75,55,98,123,5,22,1,2,1,2,2,0,0,0,0,1,0,2,1,0,1,1,0
160,56,26,158,76,56,37,54,191,286,133,33,248,90,6,13,1,2,3,0,2,0,0,1,0,2,1,0,0,1,0,0,0
161,19,38,127,83,98,40,81,170,294,50,56,200,74,9,15,0,2,2,2,2,0,0,1,1,0,1,0,0,0,1,0,0
162,20,23,115,95,103,35,42,199,160,146,87,99,100,7,23,0,1,2,2,2,1,0,0,2,2,2,1,1,2,1,1,1
163,73,15,90,91,117,39,70,192,265,136,32,66,136,4,14,1,0,0,1,0,0,0,0,2,2,0,2,1,3,0,0,0
164,76,33,93,117,91,35,91,143,235,124,79,97,128,7,22,1,2,2,1,1,0,0,0,0,1,2,1,1,4,1,1,0
165,19,25,128,115,108,36,80,168,227,157,55,170,113,5,19,0,2,2,1,1,1,1,0,0,1,2,1,1,4,1,1,0
166,19,37,143,117,93,38,96,195,164,64,47,51,133,9,13,1,1,1,0,0,1,0,1,2,2,0,2,1,3,0,0,1
167,71,36,179,105,75,40,81,169,104,191,36,246,111,10,21,1,0,2,2,1,0,1,0,2,1,2,1,1,4,1,1,0
168,18,37,122,118,72,40,92,152,219,104,74,239,107,10,13,0,0,1,0,0,0,0,0,2,0,0,2,1,3,0,0,0
169,36,38,122,111,57,37,95,154,214,178,42,134,76,10,12,0,2,3,2,1,1,1,0,2,2,1,0,0,1,0,0,0
170,19,36,161,95,102,36,115,159,208,82,35,62,128,5,20,0,1,1,2,2,0,0,1,0,2,2,1,1,2,1,1,1
171,70,33,109,87,63,40,111,173,142,119,64,110,138,4,14,0,2,0,2,0,0,1,0,2,1,0,2,1,0,1,1,0
172,61,32,105,73,120,40,92,167,287,105,82,60,139,10,19,1,2,0,1,2,0,1,0,0,2,1,0,0,0,1,0,0
173,49,26,110,117,56,38,71,159,125,72,97,146,118,9,18,0,2,2,2,2,1,0,1,0,2,1,0,0,1,0,0,0
174,87,37,134,95,58,39,120,189,110,103,71,76,80,5,23,1,0,2,2,1,0,1,1,0,1,2,1,1,4,1,1,0
175,49,15,179,65,52,39,93,164,261,139,33,84,71,7,12,1,2,0,2,1,1,0,0,0,1,0,2,1,3,0,0,0
176,85,33,176,68,66,39,76,166,229,180,89,67,96,5,22,1,0,1,1,0,1,0,0,2,2,1,0,0,1,0,0,0
177,72,34,171,80,93,35,47,169,120,95,74,117,85,7,17,1,2,3,1,0,1,0,1,2,2,0,2,1,3,0,0,0
178,73,31,151,71,95,39,50,195,214,183,95,238,133,10,19,1,0,3,1,1,0,0,1,0,1,0,2,1,3,0,0,0
179,34,19,120,120,107,39,93,180,253,66,51,90,135,9,17,1,2,0,3,0,1,0,1,2,0,2,1,1,4,1,1,0
180,55,40,131,117,77,35,99,159,227,142,41,145,118,6,20,1,2,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0
181,41,17,101,89,63,38,49,140,175,72,80,220,85,9,21,1,0,0,2,2,0,0,1,2,2,2,1,1,4,1,1,0
182,86,16,154,90,58,36,109,174,172,193,46,226,121,8,25,1,2,2,0,1,0,1,0,0,0,2,1,1,4,1,1,0
183,87,17,162,99,75,40,120,194,186,145,65,188,74,4,14,1,2,0,1,2,0,1,0,1,1,0,2,1,0,1,1,0
184,28,22,92,115,51,37,81,188,205,132,78,116,105,5,17,1,0,0,2,2,0,1,1,0,2,2,1,1,4,1,1,0
185,33,30,179,63,83,40,76,182,232,104,45,228,76,10,21,1,2,0,2,2,1,0,1,0,1,0,2,1,3,0,0,0
186,90,20,98,90,68,39,119,163,108,111,73,101,130,9,24,1,1,3,0,2,1,1,1,0,0,1,0,0,0,1,0,1
187,76,27,140,86,88,39,115,164,218,194,51,168,98,4,25,1,2,2,1,2,0,0,0,2,1,0,2,1,0,1,1,0
188,87,37,105,117,62,40,97,179,149,151,37,134,136,5,15,0,1,2,1,1,0,0,0,1,1,2,1,1,4,1,1,1
189,20,36,177,116,54,40,98,192,109,108,47,220,99,10,21,1,2,2,2,1,1,0,1,0,2,2,1,1,4,1,1,0
190,37,36,167,84,99,39,63,151,212,191,67,235,109,6,23,1,2,2,3,1,1,1,0,1,2,0,2,1,3,0,0,0
191,76,30,92,64,72,35,67,150,285,198,58,119,100,10,14,0,0,2,0,0,0,0,0,0,1,0,2,1,0,1,1,0
192,53,30,113,65,78,35,76,169,109,104,31,206,117,10,19,0,2,0,3,0,1,0,1,2,1,0,2,1,0,1,1,0
193,36,17,162,64,75,35,60,199,177,111,88,208,75,7,18,0,2,2,2,0,0,0,0,0,1,0,2,1,3,0,0,0
194,84,27,102,110,106,37,72,152,135,97,71,77,131,4,18,0,0,2,1,1,1,0,0,0,2,0,2,1,0,1,1,0
195,36,28,91,86,50,36,41,186,155,152,50,156,98,6,16,1,0,2,1,0,0,0,1,0,1,2,1,1,4,1,1,0
196,37,22,160,67,77,39,67,164,217,77,31,227,78,6,23,0,2,0,2,1,1,0,0,0,2,1,0,0,1,0,0,0
197,88,26,110,68,111,38,54,191,289,133,34,85,123,8,25,0,1,0,2,2,0,1,1,0,2,1,0,0,1,0,0,1
198,69,37,108,74,96,40,40,164,136,183,46,141,80,6,12,1,1,3,2,2,0,1,1,2,1,1,0,0,0,1,0,1
199,50,37,178,95,108,40,67,156,268,108,53,196,88,8,17,0,2,2,3,1,0,0,1,1,1,0,2,1,3,0,0,0
200,57,36,136,116,80,39,89,151,147,139,37,244,74,10,17,0,1,2,1,2,0,0,1,0,0,0,2,1,3,0,0,1
201,56,35,111,100,119,39,74,198,249,119,59,61,139,6,14,1,2,2,2,1,1,0,0,2,2,0,2,1,0,1,1,0
202,18,40,164,66,98,39,67,190,186,109,79,125,87,10,16,1,2,0,1,2,1,0,0,0,1,0,2,1,3,0,0,0
203,28,22,122,91,54,40,48,191,160,194,51,73,90,7,20,1,2,0,1,2,0,0,1,0,2,0,2,1,0,1,1,0
204,74,35,121,67,80,39,63,150,174,115,88,114,84,6,18,1,0,1,2,2,0,1,1,0,2,1,0,0,0,1,0,0
205,67,39,153,106,86,40,102,149,216,164,53,141,128,9,19,1,2,1,3,2,1,0,0,2,1,0,2,1,0,1,1,0
206,40,23,174,110,64,36,43,156,214,173,55,129,75,7,20,1,1,2,0,2,1,0,1,0,1,0,2,1,3,0,0,1
207,48,15,128,74,101,38,95,199,198,120,90,198,93,5,17,1,2,0,2,0,1,0,0,0,2,0,2,1,0,1,1,0
208,59,20,173,96,118,35,80,193,147,93,37,147,129,6,16,0,0,0,1,0,1,0,0,1,1,0,2,1,3,0,0,0
209,24,37,161,78,60,38,106,184,291,133,41,75,97,10,21,0,1,0,0,0,0,0,1,0,0,2,1,1,4,1,1,1
