caseid,dAge,dAncstry1,dAncstry2,iAvail,iCitizen,iClass,dDepart,iDisabl1,iDisabl2,iEnglish,iFeb55,iFertil,dHispanic,dHour89,dHours,iImmigr,dIncome1,dIncome2,dIncome3,dIncome4,dIncome5,dIncome6,dIncome7,dIncome8,dIndustry,iKorean,iLang1,iLooking,iMarital,iMay75880,iMeans,iMilitary,iMobility,iMobillim,dOccup,iOthrserv,iPerscare,dPOB,dPoverty,dPwgt1,iRagechld,dRearning,iRelat1,iRelat2,iRemplpar,iRiders,iRlabor,iRownchld,dRpincome,iRPOB,iRrelchld,iRspouse,iRvetserv,iSchool,iSept80,iSex,iSubfam1,iSubfam2,iTmpabsnt,dTravtime,iVietnam,dWeek89,iWork89,iWorklwk,iWWII,iYearsch,iYearwrk,dYrsserv
1000426,7,11,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,4,1,1,0,0,1,0,2,0,0,0,0,0,0,0,6,0,3,10,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,10,6,0
392405,3,1,12,0,0,1,0,2,2,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,4,0,2,1,3,0,0,4,2,2,6,0,2,0,2,0,4,2,10,0,0,0,6,0,2,22,0,5,0,1,0,1,0,0,3,0,0,1,1,2,0,6,2,0
1803658,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,4,0,2,0,114,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
1552519,4,1,2,0,0,1,3,2,2,0,0,0,0,5,5,0,3,0,0,1,0,0,0,0,6,0,2,0,0,0,1,4,2,2,2,0,2,0,2,2,0,4,0,0,0,1,1,0,4,10,0,1,0,1,0,0,0,0,0,5,0,2,1,1,0,14,1,0
515603,2,1,1,0,4,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,4,1,1,0,0,2,2,2,1,4,0,2,0,0,0,6,0,0,52,0,6,0,1,0,1,0,0,3,0,0,0,2,2,0,1,7,0
366573,2,11,1,0,0,1,5,2,2,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,7,0,2,0,4,0,1,4,2,2,2,0,2,0,1,0,1,2,0,0,0,1,1,0,2,10,0,6,0,1,0,1,0,0,0,2,0,2,1,1,0,10,1,0
1900949,6,2,1,0,0,5,0,2,2,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,5,0,2,2,1,0,0,4,1,2,2,0,2,0,2,0,4,4,0,0,0,0,6,0,4,10,0,3,0,1,0,1,0,0,3,0,0,2,1,2,0,5,1,0
893148,4,11,1,0,0,1,1,2,2,0,0,1,0,3,3,0,2,0,0,0,0,0,0,0,4,0,2,0,4,0,1,4,2,2,6,0,2,0,2,1,4,3,0,0,0,2,1,0,3,10,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,10,1,0
1286705,5,1,2,0,0,1,3,2,2,0,1,0,0,4,5,0,3,0,0,1,0,0,0,0,5,0,2,0,0,0,1,2,1,2,1,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,1,7,1,0,0,0,0,0,2,0,2,1,1,0,14,1,1
1530136,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,4,0,2,0,112,0,0,1,0,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1634220,3,3,1,0,4,1,0,2,2,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,4,1,2,6,0,2,4,2,1,4,0,2,0,0,0,6,0,0,52,0,1,0,1,0,1,1,1,3,0,0,0,2,2,0,5,3,0
1192961,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,3,0,0,4,0,0,0,0,0,0,23,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1285486,6,1,1,0,0,1,5,2,2,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,4,0,2,0,0,0,1,2,1,2,6,0,2,0,2,0,0,3,0,0,0,1,1,0,3,10,0,1,10,1,0,0,0,0,0,4,0,2,1,1,1,9,1,1
457146,4,1,2,0,0,3,4,2,2,2,0,1,0,3,3,0,3,0,0,1,0,0,0,0,9,0,1,0,0,0,1,4,2,2,2,0,2,0,2,1,4,4,1,0,0,1,1,0,4,22,0,1,0,1,0,1,0,0,0,5,0,1,1,1,0,15,1,0
2449364,7,1,2,0,0,1,0,2,2,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,9,0,2,2,1,0,0,4,2,2,3,0,2,0,1,0,4,0,0,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,6,4,0
237679,3,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,0,4,1,2,5,0,2,0,2,1,0,0,6,0,0,0,6,0,0,10,0,6,0,2,0,0,0,0,0,0,0,0,2,2,0,11,3,0
1037474,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,0,0,2,0,121,0,0,1,0,22,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
662218,4,2,3,0,0,2,4,2,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,1,2,2,0,2,0,2,2,3,2,1,0,0,1,1,0,2,10,0,1,0,1,0,1,0,0,0,3,0,1,1,1,0,10,1,0
987581,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,134,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
338453,3,1,1,0,0,2,3,2,2,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,2,2,1,0,2,0,2,1,4,2,1,0,0,1,1,0,2,22,0,1,0,1,0,1,0,0,0,4,0,1,1,1,0,14,1,0
2257072,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,0,4,0,2,0,121,0,0,1,0,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2462188,6,11,1,0,0,6,2,2,2,0,0,0,0,4,4,0,0,1,0,1,0,0,0,0,9,0,2,0,0,0,1,2,1,2,1,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,1,10,1,0,0,0,0,0,5,0,1,1,1,1,10,1,1
1104561,6,11,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,1,0,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,8,5,0
180792,2,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,2,2,0,0,2,0,2,2,4,0,2,0,223,0,0,1,2,10,1,6,0,2,0,1,0,0,0,0,0,0,0,2,0,6,0,0
1012780,3,1,3,0,0,1,3,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,3,0,2,0,4,0,1,4,1,2,5,0,2,0,2,1,0,3,2,0,0,1,1,0,3,10,0,6,0,1,0,0,0,0,0,5,0,2,1,1,0,10,1,0
1983597,4,1,1,0,0,6,0,2,2,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,11,4,1,2,4,0,2,0,2,1,0,4,0,0,0,0,1,0,4,10,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,10,1,0
2314158,2,3,1,0,0,1,4,2,2,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,7,0,1,0,4,0,1,4,1,2,2,0,2,0,2,1,4,2,2,0,111,2,1,1,2,10,1,6,0,2,0,1,0,0,0,3,0,1,1,1,0,8,1,0
330943,6,3,1,0,4,4,5,1,2,2,0,0,0,3,3,7,1,0,0,0,0,0,0,1,9,0,1,0,0,0,1,4,1,2,3,0,2,4,1,2,0,2,0,0,0,1,1,0,2,52,0,1,0,1,0,0,0,0,0,4,0,1,1,1,0,10,1,0
1256563,3,11,1,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,4,2,2,2,0,2,0,2,1,3,0,1,0,0,0,6,0,0,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,3,0
2165601,4,3,1,0,0,1,4,2,2,2,0,1,9,3,3,0,2,0,0,0,0,0,0,0,4,0,1,0,4,0,1,4,1,2,6,0,2,0,2,0,4,3,0,0,0,1,1,0,3,10,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,10,1,0
2089252,3,11,1,0,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,7,0,2,2,4,0,0,4,1,2,3,0,2,0,2,1,0,2,2,0,0,0,6,0,2,10,0,6,0,3,0,0,0,0,3,0,0,1,1,2,0,11,2,0
2073243,4,2,2,0,0,1,2,2,2,0,0,3,0,1,1,0,3,0,0,0,0,0,0,1,9,0,2,0,3,0,1,4,1,2,1,0,2,0,2,2,3,4,0,0,0,1,1,0,4,10,0,5,0,1,0,1,0,0,0,5,0,2,1,1,0,14,1,0
1808552,3,1,1,0,0,1,2,2,2,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,7,0,2,0,4,0,1,4,1,2,6,0,2,0,2,1,0,2,2,0,0,1,1,0,2,10,0,6,0,2,0,0,0,0,0,1,0,2,1,1,0,11,1,0
141521,7,0,1,0,0,2,0,1,1,0,0,5,0,5,0,0,1,0,0,1,1,0,0,0,7,0,2,2,1,0,0,4,2,2,3,0,2,0,2,0,4,2,0,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,1,1,2,0,5,2,0
744762,4,1,2,0,0,1,2,2,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,4,0,2,0,0,1,1,2,1,2,6,0,2,0,2,2,0,3,0,0,0,1,1,0,3,10,0,1,3,1,1,0,0,0,0,2,0,1,1,1,0,10,1,2
633913,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,121,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
937527,5,1,1,0,0,5,2,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,1,2,2,2,6,0,2,0,2,2,0,3,0,0,0,2,1,0,3,10,0,1,4,1,0,0,0,0,0,3,1,1,1,1,0,11,1,1
1162776,7,1,1,0,0,1,4,2,2,0,0,5,0,1,1,0,1,0,0,0,1,0,0,0,4,0,2,0,1,0,1,4,1,2,6,0,2,0,2,0,4,2,0,0,0,1,1,0,2,22,0,3,0,1,0,1,0,0,0,3,0,2,1,0,0,5,1,0
1200780,6,1,1,0,0,5,2,2,2,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,5,1,2,0,1,0,1,2,1,2,2,0,2,0,2,1,0,3,0,0,0,1,1,0,4,10,0,3,8,1,0,0,0,0,0,3,0,2,1,1,0,10,1,1
850954,4,1,1,0,0,8,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,4,1,2,2,0,2,0,1,1,2,0,1,0,0,0,6,0,0,23,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,11,4,0
684485,5,1,2,0,0,1,3,2,2,0,0,0,0,3,4,0,3,1,0,1,0,0,0,0,4,0,2,0,0,0,1,4,1,2,1,0,2,0,2,3,0,4,0,0,0,1,1,0,4,10,0,1,0,1,0,0,0,0,0,2,0,2,1,1,0,15,1,0
764489,6,1,1,0,0,1,3,2,2,0,0,0,0,4,4,0,3,0,0,1,0,0,0,0,8,1,2,0,0,0,1,2,2,2,2,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,1,9,1,0,0,0,0,0,1,0,2,1,1,1,13,1,2
192729,7,1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,4,1,1,0,0,2,0,2,1,4,0,0,0,0,0,6,0,2,23,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,5,6,0
93326,6,1,2,0,0,3,0,2,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,9,0,2,2,0,0,0,4,2,2,1,0,2,0,1,1,4,2,0,0,0,0,6,0,2,10,0,2,0,1,0,1,0,0,3,0,0,1,1,2,0,11,2,0
1170264,3,0,1,0,0,1,0,2,2,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,4,2,2,2,0,2,0,1,2,1,2,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,1,1,2,0,10,2,0
144956,4,1,1,0,3,1,1,2,2,0,0,0,0,2,2,8,2,0,0,0,0,0,0,0,8,0,2,0,0,0,1,4,2,2,3,0,2,2,2,1,0,3,0,0,0,1,1,0,3,51,0,1,0,1,0,0,0,0,0,3,0,2,1,1,0,9,1,0
898926,6,1,1,0,0,2,3,2,2,0,1,0,0,4,4,0,3,0,0,1,0,0,0,0,8,0,2,0,0,0,1,2,2,2,1,0,2,0,2,1,0,4,0,0,0,2,1,0,4,10,0,1,7,1,0,0,0,0,0,3,0,2,1,1,0,11,1,1
1342727,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,3,4,0,3,0,111,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0
1769628,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,222,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2074980,7,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,2,1,2,0,0,2,0,2,1,0,0,0,0,0,0,6,0,5,10,0,1,10,1,0,0,0,0,3,0,0,0,2,2,1,15,5,1
2120070,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,112,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1831530,4,0,1,0,0,1,3,2,2,0,0,0,0,4,4,0,2,0,0,1,0,0,0,0,3,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,0,3,0,0,0,1,1,0,3,10,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,11,1,0
1291393,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,121,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1345314,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,111,0,0,1,0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0
403303,5,1,1,0,0,1,3,2,2,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,7,0,2,0,0,0,1,3,1,2,6,0,2,0,2,0,0,4,0,0,0,1,1,0,4,10,0,1,0,1,0,0,0,0,0,3,0,2,1,1,0,7,1,0
1752830,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,2,0,0,1,0,1,2,0,0,2,0,211,0,0,1,0,10,1,6,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0
1046803,3,1,2,0,0,1,5,2,2,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,9,0,2,0,0,0,1,4,2,2,3,0,2,0,2,1,4,3,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,3,0,1,1,1,0,12,1,0
543280,5,0,1,0,0,1,2,2,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,8,0,2,0,0,0,1,4,2,2,2,0,2,0,2,1,2,2,1,0,0,1,1,0,2,22,0,1,0,1,0,1,0,0,0,2,0,1,1,1,0,10,1,0
75972,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,7,8,121,0,0,0,0,10,1,0,0,2,0,1,3,1,0,0,0,0,0,0,0,4,0,0
1641051,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2466292,4,1,1,0,0,1,2,1,2,0,0,5,0,3,2,0,1,0,0,0,0,0,0,0,7,0,2,0,0,0,1,4,2,2,3,0,2,0,2,2,2,2,0,0,0,1,1,0,2,24,0,1,0,1,0,1,0,0,0,2,0,1,1,1,0,10,1,0
1585031,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,4,0,2,0,121,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
692386,5,1,1,0,0,1,0,2,2,0,0,4,0,1,1,0,3,0,0,0,0,0,0,0,9,0,2,0,0,0,11,4,1,2,2,0,2,0,2,1,2,4,1,0,0,0,1,0,4,21,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,14,1,0
639508,2,0,1,0,0,1,1,2,2,3,0,3,7,2,2,0,1,0,0,0,0,0,0,0,8,0,1,0,1,0,1,4,2,2,3,0,2,0,2,1,4,2,7,9,0,1,1,0,2,10,0,3,0,1,0,1,0,0,0,2,0,1,1,0,0,5,1,0
456879,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2312941,5,1,1,0,0,1,3,2,2,0,0,4,0,2,2,0,3,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,2,4,1,0,0,1,1,0,4,10,0,1,0,1,0,1,0,0,0,5,0,2,1,1,0,15,1,0
2300430,5,1,1,0,0,5,0,2,2,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,10,0,2,2,0,0,0,4,2,2,2,0,2,0,2,1,4,4,1,0,0,0,6,0,4,22,0,1,0,1,0,1,0,0,3,0,0,1,1,0,0,10,2,0
2373051,5,1,1,0,0,1,1,2,2,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,4,0,2,0,3,0,1,4,1,2,1,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,5,0,1,0,0,0,0,0,4,0,2,1,1,0,12,1,0
826996,2,3,1,0,2,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,4,2,2,4,0,2,0,121,0,0,1,0,40,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,0,0
111494,2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,2,0,4,0,2,0,112,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
1392280,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,1,1,2,4,0,2,0,223,0,0,1,0,36,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
1699695,7,11,1,0,0,1,4,2,2,0,0,0,0,3,3,0,4,0,0,1,0,0,0,0,8,0,2,0,0,0,1,2,1,2,1,0,2,0,2,1,0,5,0,0,0,1,1,0,5,21,0,1,10,1,0,0,0,0,0,5,0,2,1,1,1,11,1,1
1974556,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,3,0,121,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
24452,4,1,1,0,0,1,3,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,7,0,2,0,0,0,1,4,1,2,2,0,2,0,2,0,2,2,1,0,0,1,1,0,2,10,0,1,0,1,0,1,0,0,0,1,0,2,1,1,0,10,1,0
1777549,2,1,2,0,0,1,3,2,2,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,8,0,2,0,4,0,1,4,1,2,2,0,2,0,2,1,4,2,2,0,0,3,1,0,2,10,0,6,0,2,0,1,0,0,0,5,0,2,1,1,0,11,1,0
1240523,6,2,2,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,0,0,0,4,1,2,2,0,2,0,2,2,4,0,1,0,0,0,6,0,0,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,4,0
298202,3,1,1,0,0,1,4,2,2,0,0,1,0,3,4,0,1,0,0,0,0,0,0,0,5,0,2,0,2,0,1,4,1,2,6,0,2,0,2,0,4,2,2,0,0,2,1,0,2,10,0,4,0,1,0,1,0,0,0,4,0,2,1,1,0,12,1,0
26473,3,2,1,0,0,7,2,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,4,0,2,0,4,0,1,4,1,2,1,0,2,0,2,1,0,3,2,0,0,2,1,0,3,10,0,6,0,1,0,0,0,0,0,4,0,2,1,1,0,10,1,0
2338034,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,1,2,0,0,2,0,222,0,0,1,0,21,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
233944,7,11,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,4,1,2,0,0,1,0,1,1,4,0,0,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,5,6,0
46719,6,11,1,1,0,1,0,2,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,0,2,1,0,0,0,4,1,2,2,0,2,0,2,1,0,3,0,0,0,0,2,0,3,23,0,1,0,1,0,0,0,0,2,0,0,2,1,2,0,5,1,0
1008680,4,11,1,0,0,1,5,2,2,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,4,1,2,5,0,2,0,1,3,0,2,0,0,0,1,1,0,2,10,0,1,0,1,0,0,0,0,0,5,0,1,1,1,0,7,1,0
1823013,5,1,1,0,0,1,5,2,2,0,0,0,0,3,5,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,1,4,1,2,6,0,2,0,2,3,0,4,0,0,0,1,1,0,4,10,0,1,0,1,0,0,0,0,0,4,0,2,1,1,0,10,1,0
2355693,2,11,1,0,0,1,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,2,2,4,0,0,4,1,2,6,0,2,0,2,1,0,2,2,0,113,0,6,1,2,10,1,6,0,2,0,0,0,0,3,0,0,1,1,2,0,7,2,0
