country,city,property_type,furnishing_status,property_size_sqft,price,constructed_year,previous_owners,rooms,bathrooms,garage,garden,crime_cases_reported,legal_cases_on_property,customer_salary,loan_amount,loan_tenure_years,monthly_expenses,down_payment,emi_to_income_ratio,satisfaction_score,neighbourhood_rating,connectivity_score,decision
11,4,0,2,2569,1024277,1968,3,2,2,1,1,0,1,75325,869973,20,3755,154304,0.09,10,9,5,0
11,17,3,2,4602,1839333,2023,2,5,1,1,1,0,0,35090,844864,30,9060,994469,0.15,6,10,10,0
11,4,5,1,3053,1216788,1973,3,8,7,1,1,0,0,47760,855148,20,3295,361640,0.13,6,8,4,0
12,26,1,0,2109,1057902,1989,1,8,4,0,0,1,0,98245,760117,20,11520,297785,0.06,7,5,9,1
11,17,0,2,3260,1306220,2002,4,6,1,1,0,0,0,75770,647674,20,7950,658546,0.06,4,4,3,0
9,14,1,0,3643,656265,2022,1,1,1,0,0,4,1,16610,547575,20,16165,108690,0.25,4,5,7,0
11,4,4,0,4749,1899581,1979,6,2,2,1,1,1,0,90155,1008684,15,18385,890897,0.1,2,3,6,0
2,23,3,2,5010,1751640,1964,4,6,4,0,0,0,1,96225,760710,30,14515,990930,0.05,5,3,2,0
5,25,5,0,5226,1569971,1991,0,4,1,0,1,1,0,21210,1002197,15,4340,567774,0.41,4,10,3,0
8,34,2,2,1774,1243943,1992,6,7,5,0,0,1,0,69240,667568,10,11565,576375,0.11,8,10,3,1
7,37,2,1,694,317164,1995,6,3,1,1,0,0,0,38955,264856,15,18695,52308,0.06,2,1,5,0
2,23,5,1,4032,1409429,2002,2,8,2,1,0,1,0,54630,1049955,15,10080,359474,0.17,10,2,8,1
3,2,1,0,4046,1533917,1974,2,1,1,0,0,1,0,79135,1238338,10,4180,295579,0.18,2,1,3,0
10,0,4,1,1016,612540,2011,6,5,3,0,0,1,1,74870,385575,20,6370,226965,0.04,5,6,6,0
0,5,3,1,5623,1802281,2017,4,8,5,0,0,0,0,93820,1343455,10,19730,458826,0.16,2,2,2,0
11,20,1,2,1396,554579,1972,1,6,1,0,1,0,0,18070,223297,15,6145,331282,0.11,6,8,1,0
7,15,2,1,989,443255,1961,0,8,4,0,1,4,1,59840,340777,30,4020,102478,0.04,5,5,3,0
2,23,2,0,469,162298,1967,4,3,3,0,0,1,1,25570,89484,25,19760,72814,0.02,5,6,6,0
4,19,1,0,4658,1959099,2010,6,8,6,0,1,1,1,11735,1271792,25,3995,687307,0.73,2,6,6,0
10,10,1,1,2132,1281503,1960,4,1,1,1,1,2,0,72575,624719,20,18655,656784,0.06,7,5,7,1
4,19,1,0,5773,2428383,1961,5,1,1,1,0,1,0,28610,1673981,15,19990,754402,0.51,6,8,10,0
7,15,1,0,1326,598657,2021,2,4,3,0,0,0,0,67425,290543,15,16350,308114,0.04,5,2,7,0
10,0,5,2,438,266131,2017,4,1,1,0,0,1,0,15475,192377,30,10600,73754,0.08,10,3,2,1
6,7,3,2,5471,817484,1996,5,3,3,0,1,1,0,7962,391524,15,2737,425960,0.43,1,6,2,0
0,35,0,1,2170,692107,2010,6,3,3,0,1,3,0,14385,522410,30,15355,169697,0.23,10,10,1,0
10,10,4,2,938,558624,1998,1,3,3,0,0,1,0,24045,237517,20,12170,321107,0.07,9,4,3,1
0,35,5,2,5529,1772645,1962,4,6,3,1,1,1,0,76510,1334266,20,6830,438379,0.13,1,10,6,0
10,0,1,1,5977,3589991,1999,1,2,1,1,0,0,0,18440,2155047,10,3960,1434944,1.33,5,3,7,0
5,3,5,1,4885,1462368,2017,6,8,6,0,1,1,0,14770,1164638,10,10275,297730,0.9,3,2,3,0
12,8,0,1,1813,905901,1978,3,8,4,1,0,2,0,69850,658112,10,16930,247789,0.11,10,7,5,1
9,6,2,2,5577,1003873,1964,2,7,5,0,1,3,1,28728,774645,20,19375,229228,0.2,7,9,7,0
8,34,4,1,2272,1594494,2013,6,8,1,0,1,2,0,99180,1317857,10,14075,276637,0.15,3,4,7,0
5,3,1,2,1157,350614,2022,2,8,4,0,0,2,0,50860,168120,30,7570,182494,0.02,7,4,9,1
2,38,2,1,3921,1371036,1967,1,3,2,1,1,0,0,42475,761560,10,6710,609476,0.2,10,5,2,1
11,4,0,2,5958,2378225,1974,0,3,2,1,1,0,0,54415,961177,15,12425,1417048,0.15,5,5,3,0
1,36,0,2,2339,469813,1990,4,5,3,0,0,1,0,9450,334046,20,10360,135767,0.26,7,2,3,1
7,15,0,2,3394,1526258,1996,5,5,2,0,0,0,1,52080,1295387,10,8975,230871,0.28,8,4,9,0
3,32,0,2,3401,1290192,2014,3,7,5,0,0,0,1,54110,886293,20,19465,403899,0.12,6,5,7,0
10,0,0,2,4303,2582753,1971,0,6,2,0,0,4,0,99615,1804110,20,5150,778643,0.14,6,6,1,0
4,28,5,1,1082,458248,1979,3,8,3,0,0,1,0,29220,335969,15,7955,122279,0.1,9,9,6,1
6,1,5,2,3092,467475,1985,1,1,1,1,0,0,0,6959,305786,10,1003,161689,0.5,9,8,1,0
7,37,4,1,1607,727693,2005,5,3,3,0,0,0,0,76440,486825,20,15895,240868,0.05,5,7,6,0
0,5,4,1,5364,1720291,1966,2,4,3,1,0,1,0,95745,1437973,25,6640,282318,0.1,10,9,5,1
5,25,1,1,3159,950304,1961,2,3,2,1,0,2,0,31405,610977,15,10220,339327,0.17,10,8,8,1
4,21,0,1,4312,1810683,1976,4,3,2,1,1,0,0,94040,1486951,15,16870,323732,0.14,5,7,5,0
9,6,3,1,2581,468271,1975,4,6,1,0,1,1,0,24218,385120,30,6925,83151,0.1,3,4,7,0
7,37,5,0,2112,946062,1997,5,7,7,0,1,0,0,65625,789666,25,19280,156396,0.08,10,3,9,1
11,4,4,0,4438,1778520,1964,3,2,2,0,0,2,0,22415,991822,15,14815,786698,0.39,10,8,9,1
3,2,3,2,3761,1428378,1980,6,8,2,1,0,3,0,49590,616424,30,16610,811954,0.08,2,9,9,0
4,21,5,0,3164,1324726,2006,4,3,2,1,1,1,0,78110,758698,15,14540,566028,0.08,9,10,6,1
5,11,3,0,3677,1102533,1972,0,7,1,0,0,1,0,13225,474604,30,10200,627929,0.23,10,2,7,1
4,19,5,2,582,246076,1980,6,7,5,1,1,0,0,77990,150669,20,7135,95407,0.01,6,10,6,0
8,34,2,0,4329,3032187,1978,5,3,2,1,0,1,0,81605,2520304,15,18865,511883,0.27,2,5,5,0
1,36,2,1,2926,581916,1970,4,1,1,0,1,1,0,12230,433271,15,7130,148645,0.31,4,1,10,0
1,36,2,2,2170,429094,2009,3,7,5,0,0,0,1,20540,258017,25,14270,171077,0.08,4,7,6,0
0,5,2,0,731,236906,1974,0,3,3,0,0,0,0,10490,148345,15,4085,88561,0.12,10,4,3,1
8,34,2,2,3847,2696438,2020,4,1,1,1,1,0,1,68515,1219954,15,5630,1476484,0.16,2,9,1,0
5,3,5,2,1529,458606,1982,5,6,5,1,1,1,0,91875,349264,30,17495,109342,0.02,1,10,1,0
1,36,0,1,5793,1162639,1996,4,5,2,0,0,0,0,39660,601305,25,4290,561334,0.1,2,10,5,0
10,0,3,0,2362,1421951,1978,1,3,3,1,0,1,0,68565,1159104,15,13455,262847,0.15,6,2,10,0
4,28,1,1,4218,1768182,1997,1,5,4,1,1,0,0,34530,769911,10,13520,998271,0.25,6,3,9,0
3,32,0,1,1135,426949,1978,4,2,1,0,1,2,0,48065,216974,10,6065,209975,0.05,10,6,5,1
5,25,1,2,4180,1257879,1988,0,5,1,0,0,1,0,18715,1052478,30,8145,205401,0.36,8,3,5,1
10,0,2,1,5616,3371153,1999,3,6,2,0,0,0,0,37820,2558473,15,19610,812680,0.59,10,8,1,0
7,37,0,2,3023,1363146,1980,2,3,1,0,1,0,0,98555,1003558,20,7985,359588,0.08,8,4,6,1
4,19,5,1,508,211878,2006,4,5,3,1,1,2,1,28045,123413,10,18005,88465,0.05,5,1,7,0
0,35,1,2,2300,738818,1961,6,2,2,0,0,0,0,74385,410746,30,5175,328072,0.03,7,5,2,1
1,30,1,0,4529,905920,2020,3,3,2,1,1,0,0,31166,367954,10,2970,537966,0.13,7,10,3,1
7,27,2,0,1280,576101,2021,2,3,2,1,1,1,0,51645,436615,20,12685,139486,0.06,9,8,4,1
6,29,0,2,3440,519504,2012,3,4,4,0,1,0,0,2253,246418,15,3036,273086,0.95,1,5,1,0
9,14,1,2,3132,567640,1974,2,7,2,1,1,4,0,4500,245165,25,10190,322475,0.37,2,8,7,0
7,27,5,0,1065,477753,1976,4,4,2,0,0,2,0,33800,332248,15,17000,145505,0.09,4,8,9,0
2,39,4,1,1131,392812,1978,2,6,6,1,0,0,1,56805,320060,30,12875,72752,0.04,3,7,7,0
0,35,3,2,655,214497,1962,4,7,3,1,1,1,0,30220,158955,20,18810,55542,0.04,9,8,9,1
2,23,4,0,4085,1433081,2011,1,6,4,1,1,0,0,65580,1200144,20,18120,232937,0.14,10,9,10,1
12,12,5,0,5731,2868437,1979,6,4,4,1,1,4,1,44605,1421841,20,15840,1446596,0.24,1,9,9,0
3,33,2,2,4484,1700744,1960,3,5,4,1,1,1,1,69325,1274958,10,9655,425786,0.21,5,10,2,0
12,8,3,1,783,389205,1977,1,1,1,0,0,3,1,35230,173691,20,18435,215514,0.04,3,4,2,0
5,11,3,0,3770,1135299,2021,3,5,4,1,0,0,0,17510,809342,15,17575,325957,0.4,2,6,8,0
6,24,2,2,737,106019,1968,0,4,4,0,0,0,0,2830,70264,30,3279,35755,0.16,6,6,5,0
9,6,3,1,1458,258691,1989,2,7,4,0,1,1,1,17714,110139,20,9000,148552,0.05,3,7,6,0
8,34,2,0,2982,2086933,1987,1,7,2,1,0,1,0,67875,1661403,10,8080,425530,0.28,7,6,4,1
6,13,3,2,3551,532483,2018,0,5,4,1,0,0,0,5608,387216,30,945,145267,0.44,2,6,6,0
0,22,5,1,4435,1418820,2005,4,4,4,1,0,1,1,41500,1039244,15,2710,379576,0.22,4,9,3,0
0,35,0,2,2784,889303,1983,6,5,1,0,0,1,0,55300,428152,20,4000,461151,0.06,6,6,6,0
7,15,1,2,1518,685518,2007,5,8,3,0,1,4,0,25460,320532,20,16380,364986,0.09,8,10,8,0
8,34,3,2,4648,3252222,2015,5,2,2,1,0,2,0,90370,1359786,15,16195,1892436,0.13,4,9,6,0
2,39,3,2,642,227698,1994,3,3,3,0,0,1,0,92395,132406,15,3905,95292,0.01,3,8,1,0
0,5,1,2,2032,647966,2009,4,4,2,0,0,2,0,95535,374732,10,19430,273234,0.04,7,8,2,1
4,19,4,1,2913,1223478,2000,5,8,2,0,0,1,1,47245,614062,10,9945,609416,0.15,1,3,7,0
1,30,2,2,2074,414970,2010,0,8,2,1,1,1,1,7026,260832,20,11585,154138,0.28,7,10,8,0
0,5,2,1,3290,1048560,1981,4,7,7,0,1,1,0,64785,451105,25,4570,597455,0.05,7,4,4,1
10,10,2,1,574,349106,2008,0,2,2,1,1,0,1,91470,188509,30,4520,160597,0.01,9,3,10,0
1,30,4,1,3171,634016,1974,3,7,2,0,0,3,0,5288,500333,30,13420,133683,0.6,8,7,3,0
5,3,1,2,1576,470152,2016,3,7,2,1,0,1,0,16980,392946,30,12580,77206,0.15,9,4,4,1
5,3,5,2,5934,1783541,1970,4,4,3,1,0,0,0,25965,1141919,10,5675,641622,0.5,4,8,8,0
10,0,1,0,1441,860050,2005,5,1,1,0,1,1,0,32960,506720,30,12895,353330,0.1,10,4,7,1
3,33,0,1,3445,1309327,1990,4,3,2,1,0,1,0,23870,561913,15,17840,747414,0.21,5,5,8,0
2,39,5,2,2502,873160,1980,5,3,2,0,1,5,1,69475,662888,20,11350,210272,0.07,3,8,7,0
10,10,5,0,1638,980085,2016,5,1,1,0,0,2,1,13005,411836,20,4645,568249,0.24,2,4,1,0
8,34,1,2,4005,2798883,1969,5,7,1,1,0,2,0,23770,1847284,20,8770,951599,0.58,7,1,4,0
6,7,0,1,4925,743312,1973,3,6,3,1,0,1,0,16199,481678,25,1164,261634,0.2,2,7,8,0
1,30,1,1,3107,625141,1976,0,2,1,0,1,0,0,9458,449849,15,3555,175292,0.41,4,1,6,0
5,25,5,2,2629,793267,1965,6,8,3,0,1,2,0,98255,321583,30,19270,471684,0.02,6,1,4,0
10,10,3,2,3756,2255943,2001,5,4,4,0,0,1,0,38380,1703478,25,8685,552465,0.3,7,5,8,1
9,14,2,0,3978,712152,2023,5,8,3,1,0,0,1,5746,313364,30,19785,398788,0.34,3,8,4,0
3,2,2,0,2084,792210,2016,5,7,5,1,0,0,0,30655,473038,30,11050,319172,0.1,6,9,8,0
1,30,3,0,3140,629018,2017,4,3,2,0,0,2,0,19540,501959,30,11545,127059,0.16,7,8,5,1
5,3,3,1,786,238656,1980,6,2,1,0,0,0,0,77520,197225,10,3795,41431,0.03,6,1,6,0
5,3,0,0,1424,424381,2010,3,8,4,1,1,3,0,96750,302661,10,9500,121720,0.04,8,2,10,0
0,35,1,1,4145,1321648,1965,6,4,1,1,1,0,0,73275,1068952,20,6070,252696,0.11,4,3,9,0
11,20,1,0,3265,1304493,1983,4,6,4,1,1,0,1,23735,633404,10,14385,671089,0.3,2,10,1,0
7,37,5,1,542,244517,2012,6,7,4,1,0,0,0,42385,140995,30,19195,103522,0.02,9,7,5,1
4,21,4,0,1717,723294,1978,1,1,1,0,0,1,0,34395,590421,25,2735,132873,0.12,9,2,4,1
3,33,2,1,3329,1263350,1977,6,6,2,1,1,2,1,55140,839839,25,10780,423511,0.1,5,2,10,0
10,0,4,0,4949,2970694,1970,5,3,2,1,1,0,0,43165,2052209,10,18255,918485,0.54,2,4,4,0
9,14,4,0,485,89183,1993,5,5,1,1,1,9,0,21112,70459,30,2885,18724,0.02,6,1,5,0
6,9,1,2,3762,566203,1973,5,3,1,0,1,1,0,6569,235770,25,2207,330433,0.24,9,1,4,1
4,19,5,2,5363,2253240,2016,3,4,2,0,1,0,1,78975,1888938,25,10460,364302,0.16,7,3,3,0
11,20,0,2,3437,1379611,1968,2,5,5,0,0,0,0,89890,1078136,20,8340,301475,0.09,4,7,2,0
11,4,1,2,4748,1900673,2002,0,3,3,0,1,2,0,37320,1161608,25,14130,739065,0.21,7,2,7,1
7,15,5,1,2301,1032835,1973,1,1,1,1,1,0,0,45575,610594,30,11275,422241,0.08,6,3,1,0
6,1,1,2,5033,756382,1965,1,5,1,1,1,3,0,13300,346906,10,844,409476,0.3,5,8,6,0
8,34,4,2,5174,3625653,2005,0,7,2,1,1,1,0,98705,2765455,15,3060,860198,0.24,9,4,8,1
2,23,4,2,3516,1226489,1972,0,5,4,0,0,2,0,53610,805746,10,5440,420743,0.17,2,4,8,0
3,33,5,0,2921,1111989,1968,5,3,1,1,0,1,1,14505,664604,15,12875,447385,0.4,8,4,4,0
7,37,5,1,3161,1424095,1998,0,8,4,0,1,0,1,10215,715629,15,6840,708466,0.61,6,3,10,0
10,10,4,2,3833,2303441,2013,4,4,2,1,0,1,0,63885,986315,10,10615,1317126,0.18,10,2,9,1
8,34,0,1,917,640163,1991,5,8,4,0,0,0,0,47470,543687,20,2765,96476,0.09,5,9,2,0
8,34,5,1,3318,2319037,1991,5,6,3,1,1,3,0,85405,1530864,20,17930,788173,0.13,2,4,3,0
2,38,5,0,1169,408636,1970,3,1,1,1,0,1,0,38790,220175,25,13205,188461,0.04,7,2,2,1
2,38,2,0,423,147788,1966,6,4,1,0,0,0,0,47635,79207,15,11285,68581,0.01,3,3,4,0
2,23,4,1,1052,366695,2016,6,4,4,0,0,2,0,56540,170025,15,3330,196670,0.03,8,9,1,1
2,38,0,2,5002,1745785,2005,3,7,6,1,0,1,0,90920,781285,30,18160,964500,0.05,7,9,1,1
4,28,1,0,843,354587,1975,2,3,1,0,0,0,0,83055,181644,20,10500,172943,0.02,1,1,5,0
5,3,1,0,5303,1595249,1984,0,4,1,0,0,1,0,48660,1066848,10,12135,528401,0.25,6,8,4,0
12,26,5,0,753,374185,2023,0,5,3,0,0,1,0,85090,161318,15,17665,212867,0.02,7,6,3,1
7,15,1,0,2821,1270007,2019,2,3,3,0,1,0,1,68220,530002,25,9790,740005,0.05,4,7,4,0
3,32,5,1,3227,1223101,1996,4,6,2,1,1,0,0,90880,685940,30,13090,537161,0.05,8,1,5,1
10,0,5,0,3685,2214051,1968,1,8,3,1,0,1,1,22290,1060589,30,15030,1153462,0.3,10,8,7,0
8,34,1,2,5473,3833537,2006,4,8,5,1,1,1,0,87510,2779789,20,4890,1053748,0.24,4,5,5,0
6,29,1,0,5219,784955,1986,3,4,3,0,0,1,1,6313,623751,20,2245,161204,0.74,10,7,1,0
0,35,2,0,641,201016,1997,1,5,2,1,0,0,0,40440,119071,25,5465,81945,0.02,1,9,5,0
8,34,2,2,2693,1881467,1961,4,2,2,1,1,1,0,93035,829285,15,14295,1052182,0.08,10,5,8,1
11,16,3,2,3032,1215185,1995,6,1,1,0,0,1,0,72260,492234,30,18260,722951,0.04,8,4,9,1
0,35,3,1,783,248215,1962,1,8,5,0,0,0,0,73250,195627,30,6930,52588,0.02,2,3,3,0
6,13,4,2,1704,253165,2018,2,3,2,1,0,2,1,18126,136886,20,3786,116279,0.06,3,1,5,0
6,7,1,1,3102,468796,1969,5,5,4,0,1,0,1,16825,189081,10,2582,279715,0.13,9,4,3,0
9,6,4,2,1413,256018,2008,4,4,2,0,1,3,0,39712,206924,30,3870,49094,0.03,3,3,9,0
9,6,2,2,4136,741039,1998,4,6,1,0,1,6,1,11410,352177,25,12290,388862,0.21,1,5,7,0
12,12,0,2,2896,1445129,2005,5,3,2,0,1,2,0,50675,766885,15,17610,678244,0.13,10,2,10,1
7,15,1,0,2712,1221020,2007,3,4,1,1,1,0,0,34800,586571,30,13315,634449,0.11,3,1,2,0
12,31,1,2,5014,2507253,1978,4,7,6,0,1,2,0,75170,1341675,20,3535,1165578,0.13,1,2,1,0
0,5,1,1,2161,696314,1987,6,2,2,0,1,1,0,61525,583268,10,5680,113046,0.11,5,10,2,0
6,1,5,0,5661,850776,2013,1,8,3,1,1,3,0,5490,570074,20,2125,280702,0.77,3,1,3,0
5,25,0,2,4095,1229868,1962,4,2,2,1,0,0,0,58500,912698,30,14555,317170,0.1,9,10,6,1
12,31,3,2,2247,1127168,1961,6,4,4,0,1,0,1,91095,557172,25,12190,569996,0.04,4,3,1,0
8,34,5,2,5569,3903058,1975,5,2,2,1,1,1,0,44405,3051757,20,17505,851301,0.51,2,7,6,0
5,25,1,2,1771,531118,1972,3,2,2,1,1,0,0,55380,388601,20,16750,142517,0.05,7,9,5,1
7,15,3,2,3270,1467148,1976,6,3,1,1,1,0,0,83575,731640,15,2625,735508,0.08,7,3,8,1
7,27,2,2,2351,1055317,1979,6,4,4,0,0,1,1,51020,473031,10,10700,582286,0.11,3,3,9,0
9,6,0,2,1711,310198,2017,0,1,1,0,0,3,0,26136,156461,25,9955,153737,0.04,9,1,4,0
3,2,2,0,758,293023,1970,5,3,2,0,0,2,0,46560,139324,30,6915,153699,0.02,8,10,5,1
11,17,5,2,3214,1289422,2007,6,1,1,1,1,0,0,94215,991190,15,16415,298232,0.09,5,7,6,0
9,6,0,2,4258,771355,1990,1,1,1,0,0,1,0,17442,579163,15,11050,192192,0.29,1,8,1,0
3,2,0,1,4241,1607285,1981,4,2,2,0,0,1,1,31995,1365862,30,13840,241423,0.27,5,6,2,0
11,4,3,2,1027,409681,1978,0,1,1,1,1,1,1,17255,193766,10,6640,215915,0.13,3,8,6,0
12,26,2,2,3432,1712077,2014,1,7,4,0,0,1,0,24025,812710,20,16580,899367,0.25,7,1,3,1
6,24,5,1,3770,561345,2004,5,8,6,1,1,0,0,6501,247500,10,605,313845,0.43,6,1,2,0
12,8,1,2,3553,1775623,2003,6,5,5,0,0,3,0,47665,1193450,25,7400,582173,0.17,2,7,9,0
4,28,2,2,4786,2005510,2011,5,2,2,0,1,2,0,75410,1206929,25,7465,798581,0.11,8,6,6,1
0,35,0,2,5396,1729852,1978,5,4,4,1,0,1,0,34315,1120955,10,11395,608897,0.37,2,8,5,0
1,36,2,0,2472,491801,1965,4,1,1,0,0,2,0,27398,329006,25,11375,162795,0.08,3,6,10,0
1,30,3,0,1488,296776,2015,4,4,1,0,0,1,0,8468,134633,20,19505,162143,0.12,5,2,1,0
11,20,3,2,4828,1929517,2005,5,5,3,0,0,0,0,29735,1357790,20,13165,571727,0.34,5,1,2,0
2,38,4,1,4516,1579955,2022,2,2,1,1,1,1,0,16005,828621,15,9330,751334,0.45,6,10,1,0
5,3,5,1,3081,928645,1983,0,5,2,0,1,0,0,22280,661909,10,17005,266736,0.34,4,9,8,0
5,25,1,2,3573,1067635,2007,5,1,1,1,0,0,0,11430,861073,10,11880,206562,0.86,2,3,9,0
0,22,0,0,1817,579334,2004,6,4,3,0,1,1,0,67995,340545,25,8790,238789,0.03,2,3,9,0
8,34,3,2,3910,2738275,1996,6,8,2,1,0,0,0,68895,1355046,15,19305,1383229,0.17,7,1,9,1
2,38,5,1,1388,483832,2010,6,4,4,0,1,0,0,67560,242839,20,10025,240993,0.03,3,5,5,0
8,34,0,1,490,343776,2006,1,7,7,1,1,0,0,48895,149617,25,11850,194159,0.02,8,7,1,1
3,32,3,1,3810,1449873,2000,4,3,3,1,1,0,0,54990,878218,20,11920,571655,0.12,5,8,9,0
4,21,4,2,2740,1147582,2019,4,3,3,1,0,2,0,78755,672678,10,7335,474904,0.1,7,9,6,1
8,34,3,2,5584,3907140,1986,1,4,1,1,0,0,0,78025,2551532,15,14710,1355608,0.28,3,4,3,0
3,2,5,1,1890,721787,2010,4,7,3,0,1,3,0,35245,389083,25,10265,332704,0.07,7,1,3,0
7,37,5,1,1358,611493,1990,0,3,2,1,1,1,0,98170,424445,30,2930,187048,0.03,2,2,4,0
6,9,1,1,4242,640131,1979,4,7,2,1,0,0,1,4941,461794,20,590,178337,0.7,1,7,7,0
0,5,1,2,4971,1586561,2019,0,1,1,0,0,0,0,48175,1154354,15,4070,432207,0.21,1,4,10,0
7,37,0,1,545,248443,1993,6,4,1,1,0,1,1,15255,144750,15,14785,103693,0.08,10,10,4,0
1,36,4,0,5613,1124171,1988,4,8,7,0,0,0,0,33486,815107,25,17455,309064,0.16,10,6,7,1
