hyperedge_id,num_features,features
H40,2,Contribution Surfboard Policies;Purchasing Power Class
H41,20,Contribution Bicycle Policies;Contribution Boat Policies;Contribution Family Accident Insurance Policies;Contribution Lorry Policies;Contribution Moped Policies;Contribution Motorcycle Scooter Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Social Security Insurance Policies;Contribution Surfboard Policies;Contribution Third Party Insurance Firms;Number of Bicycle Policies;Number of Boat Policies;Number of Family Accident Insurance Policies;Number of Houses;Number of Moped Policies;Number of Motorcycle Scooter Policies;Number of Private Accident Insurance Policies;Number of Surfboard Policies;Number of Third Party Insurance Firms
H42,2,Contribution Third Party Insurance Agriculture;Number of Third Party Insurance Agriculture
H43,2,Contribution Car Policies;Contribution Surfboard Policies
H44,2,Contribution Delivery Van Policies;Number of Delivery Van Policies
H45,10,Contribution Agricultural Machine Policies;Contribution Boat Policies;Contribution Lorry Policies;Contribution Motorcycle Scooter Policies;Contribution Surfboard Policies;Contribution Third Party Insurance Firms;Contribution Trailer Policies;Number of Agricultural Machine Policies;Number of Lorry Policies;Number of Surfboard Policies
H46,2,Contribution Lorry Policies;Number of Lorry Policies
H47,9,Contribution Boat Policies;Contribution Disability Insurance Policies;Contribution Motorcycle Scooter Policies;Contribution Private Accident Insurance Policies;Contribution Social Security Insurance Policies;Contribution Trailer Policies;Number of Disability Insurance Policies;Number of Social Security Insurance Policies;Number of Trailer Policies
H48,3,Contribution Surfboard Policies;Contribution Tractor Policies;Number of Surfboard Policies
H49,18,Contribution Agricultural Machine Policies;Contribution Bicycle Policies;Contribution Boat Policies;Contribution Family Accident Insurance Policies;Contribution Life Insurance Policies;Contribution Motorcycle Scooter Policies;Contribution Property Insurance Policies;Contribution Social Security Insurance Policies;Contribution Surfboard Policies;Income Greater Than 123000;Number of Bicycle Policies;Number of Boat Policies;Number of Family Accident Insurance Policies;Number of Mobile Home Policies;Number of Motorcycle Scooter Policies;Number of Property Insurance Policies;Number of Social Security Insurance Policies;Number of Surfboard Policies
H50,17,Contribution Boat Policies;Contribution Delivery Van Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Moped Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Surfboard Policies;Contribution Third Party Insurance Firms;Number of Boat Policies;Number of Delivery Van Policies;Number of Disability Insurance Policies;Number of Lorry Policies;Number of Private Accident Insurance Policies;Number of Property Insurance Policies;Number of Surfboard Policies;Number of Third Party Insurance Firms
H51,21,Contribution Agricultural Machine Policies;Contribution Boat Policies;Contribution Delivery Van Policies;Contribution Disability Insurance Policies;Contribution Life Insurance Policies;Contribution Lorry Policies;Contribution Moped Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Surfboard Policies;Contribution Third Party Insurance Firms;Contribution Tractor Policies;Contribution Trailer Policies;Number of Agricultural Machine Policies;Number of Delivery Van Policies;Number of Disability Insurance Policies;Number of Houses;Number of Lorry Policies;Number of Surfboard Policies;Number of Tractor Policies;Number of Trailer Policies
H52,21,Contribution Bicycle Policies;Contribution Delivery Van Policies;Contribution Disability Insurance Policies;Contribution Family Accident Insurance Policies;Contribution Lorry Policies;Contribution Moped Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Social Security Insurance Policies;Contribution Surfboard Policies;Contribution Third Party Insurance Firms;Number of Bicycle Policies;Number of Delivery Van Policies;Number of Disability Insurance Policies;Number of Family Accident Insurance Policies;Number of Lorry Policies;Number of Moped Policies;Number of Private Accident Insurance Policies;Number of Property Insurance Policies;Number of Surfboard Policies;Number of Third Party Insurance Firms
H53,2,Contribution Family Accident Insurance Policies;Number of Family Accident Insurance Policies
H54,20,Contribution Bicycle Policies;Contribution Boat Policies;Contribution Disability Insurance Policies;Contribution Family Accident Insurance Policies;Contribution Moped Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Social Security Insurance Policies;Contribution Surfboard Policies;Contribution Trailer Policies;Number of Bicycle Policies;Number of Boat Policies;Number of Disability Insurance Policies;Number of Family Accident Insurance Policies;Number of Houses;Number of Moped Policies;Number of Private Accident Insurance Policies;Number of Property Insurance Policies;Number of Social Security Insurance Policies;Number of Surfboard Policies
H55,3,Contribution Fire Policies;Contribution Lorry Policies;Contribution Surfboard Policies
H56,2,Contribution Surfboard Policies;Number of Surfboard Policies
H57,21,Contribution Agricultural Machine Policies;Contribution Bicycle Policies;Contribution Boat Policies;Contribution Delivery Van Policies;Contribution Disability Insurance Policies;Contribution Family Accident Insurance Policies;Contribution Lorry Policies;Contribution Moped Policies;Contribution Motorcycle Scooter Policies;Contribution Private Accident Insurance Policies;Contribution Third Party Insurance Firms;Contribution Trailer Policies;Number of Agricultural Machine Policies;Number of Bicycle Policies;Number of Boat Policies;Number of Delivery Van Policies;Number of Disability Insurance Policies;Number of Family Accident Insurance Policies;Number of Lorry Policies;Number of Moped Policies;Number of Third Party Insurance Firms
H58,21,Contribution Agricultural Machine Policies;Contribution Boat Policies;Contribution Delivery Van Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Moped Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Third Party Insurance Agriculture;Contribution Third Party Insurance Firms;Contribution Tractor Policies;Contribution Trailer Policies;Number of Agricultural Machine Policies;Number of Delivery Van Policies;Number of Disability Insurance Policies;Number of Houses;Number of Lorry Policies;Number of Moped Policies;Number of Private Accident Insurance Policies;Number of Property Insurance Policies;Number of Tractor Policies
H59,14,Contribution Agricultural Machine Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Private Accident Insurance Policies;Contribution Social Security Insurance Policies;Contribution Surfboard Policies;Contribution Trailer Policies;Number of Agricultural Machine Policies;Number of Disability Insurance Policies;Number of Lorry Policies;Number of Private Accident Insurance Policies;Number of Social Security Insurance Policies;Number of Surfboard Policies;Number of Trailer Policies
H60,3,Contribution Car Policies;Contribution Surfboard Policies;Number of Car Policies
H61,14,Contribution Boat Policies;Contribution Delivery Van Policies;Contribution Family Accident Insurance Policies;Contribution Moped Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Surfboard Policies;Number of Boat Policies;Number of Delivery Van Policies;Number of Family Accident Insurance Policies;Number of Moped Policies;Number of Private Accident Insurance Policies;Number of Property Insurance Policies;Number of Surfboard Policies
H62,2,Contribution Trailer Policies;Number of Trailer Policies
H63,3,Contribution Surfboard Policies;Number of Surfboard Policies;Number of Tractor Policies
H64,18,Contribution Bicycle Policies;Contribution Boat Policies;Contribution Family Accident Insurance Policies;Contribution Life Insurance Policies;Contribution Motorcycle Scooter Policies;Contribution Property Insurance Policies;Contribution Social Security Insurance Policies;Contribution Surfboard Policies;Income Greater Than 123000;Number of Agricultural Machine Policies;Number of Bicycle Policies;Number of Boat Policies;Number of Family Accident Insurance Policies;Number of Mobile Home Policies;Number of Motorcycle Scooter Policies;Number of Property Insurance Policies;Number of Social Security Insurance Policies;Number of Surfboard Policies
H65,5,Contribution Lorry Policies;Contribution Surfboard Policies;Number of Life Insurance Policies;Number of Lorry Policies;Number of Surfboard Policies
H66,2,Contribution Lorry Policies;Number of Fire Policies
H67,2,Contribution Bicycle Policies;Number of Bicycle Policies
